"Statistic","CensusYear","Sex","Age Last Birthday","At Each Year of Age","UNIT","VALUE"
"Population 2011 to 2016","2016","Female","76 years","Population","Number","12955"
"Population 2011 to 2016","2016","Female","76 years","Population at or under this age","Number","2282015"
"Population 2011 to 2016","2016","Female","76 years","Population at or over this age","Number","138377"
"Population 2011 to 2016","2016","Female","77 years","Population","Number","12441"
"Population 2011 to 2016","2016","Female","77 years","Population at or under this age","Number","2294456"
"Population 2011 to 2016","2016","Female","77 years","Population at or over this age","Number","125422"
"Population 2011 to 2016","2016","Female","78 years","Population","Number","11534"
"Population 2011 to 2016","2016","Female","78 years","Population at or under this age","Number","2305990"
"Population 2011 to 2016","2016","Female","78 years","Population at or over this age","Number","112981"
"Population 2011 to 2016","2016","Female","79 years","Population","Number","11113"
"Population 2011 to 2016","2016","Female","79 years","Population at or under this age","Number","2317103"
"Population 2011 to 2016","2016","Female","79 years","Population at or over this age","Number","101447"
"Population 2011 to 2016","2016","Female","80 years","Population","Number","10608"
"Population 2011 to 2016","2016","Female","80 years","Population at or under this age","Number","2327711"
"Population 2011 to 2016","2016","Female","80 years","Population at or over this age","Number","90334"
"Population 2011 to 2016","2016","Female","81 years","Population","Number","9975"
"Population 2011 to 2016","2016","Female","81 years","Population at or under this age","Number","2337686"
"Population 2011 to 2016","2016","Female","81 years","Population at or over this age","Number","79726"
"Population 2011 to 2016","2016","Female","82 years","Population","Number","9272"
"Population 2011 to 2016","2016","Female","82 years","Population at or under this age","Number","2346958"
"Population 2011 to 2016","2016","Female","82 years","Population at or over this age","Number","69751"
"Population 2011 to 2016","2016","Female","83 years","Population","Number","8282"
"Population 2011 to 2016","2016","Female","83 years","Population at or under this age","Number","2355240"
"Population 2011 to 2016","2016","Female","83 years","Population at or over this age","Number","60479"
"Population 2011 to 2016","2016","Female","84 years","Population","Number","7704"
"Population 2011 to 2016","2016","Female","84 years","Population at or under this age","Number","2362944"
"Population 2011 to 2016","2016","Female","84 years","Population at or over this age","Number","52197"
"Population 2011 to 2016","2016","Female","85 years","Population","Number","7098"
"Population 2011 to 2016","2016","Female","85 years","Population at or under this age","Number","2370042"
"Population 2011 to 2016","2016","Female","85 years","Population at or over this age","Number","44493"
"Population 2011 to 2016","2016","Female","86 years","Population","Number","6363"
"Population 2011 to 2016","2016","Female","86 years","Population at or under this age","Number","2376405"
"Population 2011 to 2016","2016","Female","86 years","Population at or over this age","Number","37395"
"Population 2011 to 2016","2016","Female","87 years","Population","Number","5605"
"Population 2011 to 2016","2016","Female","87 years","Population at or under this age","Number","2382010"
"Population 2011 to 2016","2016","Female","87 years","Population at or over this age","Number","31032"
"Population 2011 to 2016","2016","Female","88 years","Population","Number","4816"
"Population 2011 to 2016","2016","Female","88 years","Population at or under this age","Number","2386826"
"Population 2011 to 2016","2016","Female","88 years","Population at or over this age","Number","25427"
"Population 2011 to 2016","2016","Female","89 years","Population","Number","4304"
"Population 2011 to 2016","2016","Female","89 years","Population at or under this age","Number","2391130"
"Population 2011 to 2016","2016","Female","89 years","Population at or over this age","Number","20611"
"Population 2011 to 2016","2016","Female","90 years","Population","Number","3705"
"Population 2011 to 2016","2016","Female","90 years","Population at or under this age","Number","2394835"
"Population 2011 to 2016","2016","Female","90 years","Population at or over this age","Number","16307"
"Population 2011 to 2016","2016","Female","91 years","Population","Number","3054"
"Population 2011 to 2016","2016","Female","91 years","Population at or under this age","Number","2397889"
"Population 2011 to 2016","2016","Female","91 years","Population at or over this age","Number","12602"
"Population 2011 to 2016","2016","Female","92 years","Population","Number","2452"
"Population 2011 to 2016","2016","Female","92 years","Population at or under this age","Number","2400341"
"Population 2011 to 2016","2016","Female","92 years","Population at or over this age","Number","9548"
"Population 2011 to 2016","2016","Female","93 years","Population","Number","1986"
"Population 2011 to 2016","2016","Female","93 years","Population at or under this age","Number","2402327"
"Population 2011 to 2016","2016","Female","93 years","Population at or over this age","Number","7096"
"Population 2011 to 2016","2016","Female","94 years","Population","Number","1543"
"Population 2011 to 2016","2016","Female","94 years","Population at or under this age","Number","2403870"
"Population 2011 to 2016","2016","Female","94 years","Population at or over this age","Number","5110"
"Population 2011 to 2016","2016","Female","95 years","Population","Number","1163"
"Population 2011 to 2016","2016","Female","95 years","Population at or under this age","Number","2405033"
"Population 2011 to 2016","2016","Female","95 years","Population at or over this age","Number","3567"
"Population 2011 to 2016","2016","Female","96 years","Population","Number","889"
"Population 2011 to 2016","2016","Female","96 years","Population at or under this age","Number","2405922"
"Population 2011 to 2016","2016","Female","96 years","Population at or over this age","Number","2404"
"Population 2011 to 2016","2016","Female","97 years","Population","Number","542"
"Population 2011 to 2016","2016","Female","97 years","Population at or under this age","Number","2406464"
"Population 2011 to 2016","2016","Female","97 years","Population at or over this age","Number","1515"
"Population 2011 to 2016","2016","Female","98 years","Population","Number","357"
"Population 2011 to 2016","2016","Female","98 years","Population at or under this age","Number","2406821"
"Population 2011 to 2016","2016","Female","98 years","Population at or over this age","Number","973"
"Population 2011 to 2016","2016","Female","99 years","Population","Number","244"
"Population 2011 to 2016","2016","Female","99 years","Population at or under this age","Number","2407065"
"Population 2011 to 2016","2016","Female","99 years","Population at or over this age","Number","616"
"Population 2011 to 2016","2016","Female","100 years and over","Population","Number","372"
"Population 2011 to 2016","2016","Female","100 years and over","Population at or under this age","Number","2407437"
"Population 2011 to 2016","2016","Female","100 years and over","Population at or over this age","Number","372"
